country_code,year,value,au_region,quality_flag,indicator
AGO,2015,36.8181818181818,Central Africa,VERIFIED,women_in_parliament
BDI,2015,36.3636363636364,East Africa,VERIFIED,women_in_parliament
BEN,2015,7.2289156626506,West Africa,VERIFIED,women_in_parliament
BFA,2015,9.44881889763779,West Africa,VERIFIED,women_in_parliament
BWA,2015,9.52380952380952,Southern Africa,VERIFIED,women_in_parliament
CAF,2015,,Central Africa,MISSING,women_in_parliament
CIV,2015,9.16334661354582,West Africa,VERIFIED,women_in_parliament
CMR,2015,31.1111111111111,Central Africa,VERIFIED,women_in_parliament
COD,2015,8.94308943089431,Central Africa,VERIFIED,women_in_parliament
COG,2015,7.35294117647059,Central Africa,VERIFIED,women_in_parliament
COM,2015,3.03030303030303,East Africa,VERIFIED,women_in_parliament
CPV,2015,20.8333333333333,West Africa,VERIFIED,women_in_parliament
DJI,2015,12.7272727272727,East Africa,VERIFIED,women_in_parliament
DZA,2015,31.6017316017316,North Africa,VERIFIED,women_in_parliament
EGY,2015,,North Africa,MISSING,women_in_parliament
ERI,2015,22.0,East Africa,VERIFIED,women_in_parliament
ETH,2015,38.7568555758684,East Africa,VERIFIED,women_in_parliament
GAB,2015,14.1666666666667,Central Africa,VERIFIED,women_in_parliament
GHA,2015,10.9090909090909,West Africa,VERIFIED,women_in_parliament
GIN,2015,21.9298245614035,West Africa,VERIFIED,women_in_parliament
GMB,2015,9.43396226415094,West Africa,VERIFIED,women_in_parliament
GNB,2015,13.7254901960784,West Africa,VERIFIED,women_in_parliament
GNQ,2015,24.0,Central Africa,VERIFIED,women_in_parliament
KEN,2015,19.7142857142857,East Africa,VERIFIED,women_in_parliament
LBR,2015,10.958904109589,West Africa,VERIFIED,women_in_parliament
LBY,2015,15.9574468085106,Other,VERIFIED,women_in_parliament
LSO,2015,25.0,Southern Africa,VERIFIED,women_in_parliament
MAR,2015,16.9620253164557,North Africa,VERIFIED,women_in_parliament
MDG,2015,20.5298013245033,East Africa,VERIFIED,women_in_parliament
MLI,2015,8.84353741496599,West Africa,VERIFIED,women_in_parliament
MOZ,2015,39.6,Southern Africa,VERIFIED,women_in_parliament
MRT,2015,25.1700680272109,West Africa,VERIFIED,women_in_parliament
MUS,2015,11.5942028985507,East Africa,VERIFIED,women_in_parliament
MWI,2015,16.6666666666667,Southern Africa,VERIFIED,women_in_parliament
NAM,2015,41.3461538461538,Southern Africa,VERIFIED,women_in_parliament
NER,2015,13.2743362831858,West Africa,VERIFIED,women_in_parliament
NGA,2015,5.55555555555556,West Africa,VERIFIED,women_in_parliament
RWA,2015,63.75,East Africa,VERIFIED,women_in_parliament
SDN,2015,30.5164319248826,North Africa,VERIFIED,women_in_parliament
SEN,2015,42.6666666666667,West Africa,VERIFIED,women_in_parliament
SLE,2015,12.396694214876,West Africa,VERIFIED,women_in_parliament
SOM,2015,13.8181818181818,East Africa,VERIFIED,women_in_parliament
SSD,2015,26.5060240963855,East Africa,VERIFIED,women_in_parliament
STP,2015,18.1818181818182,Central Africa,VERIFIED,women_in_parliament
SWZ,2015,6.15384615384615,Southern Africa,VERIFIED,women_in_parliament
SYC,2015,43.75,East Africa,VERIFIED,women_in_parliament
TCD,2015,14.8936170212766,Central Africa,VERIFIED,women_in_parliament
TGO,2015,17.5824175824176,West Africa,VERIFIED,women_in_parliament
TUN,2015,31.3364055299539,North Africa,VERIFIED,women_in_parliament
TZA,2015,36.0,East Africa,VERIFIED,women_in_parliament
UGA,2015,34.9740932642487,East Africa,VERIFIED,women_in_parliament
ZAF,2015,42.0,Southern Africa,VERIFIED,women_in_parliament
ZMB,2015,12.6582278481013,Southern Africa,VERIFIED,women_in_parliament
ZWE,2015,31.4814814814815,Southern Africa,VERIFIED,women_in_parliament
AGO,2016,36.8181818181818,Central Africa,VERIFIED,women_in_parliament
BDI,2016,36.3636363636364,East Africa,VERIFIED,women_in_parliament
BEN,2016,7.2289156626506,West Africa,VERIFIED,women_in_parliament
BFA,2016,9.44881889763779,West Africa,VERIFIED,women_in_parliament
BWA,2016,9.52380952380952,Southern Africa,VERIFIED,women_in_parliament
CAF,2016,7.19424460431655,Central Africa,VERIFIED,women_in_parliament
CIV,2016,9.16334661354582,West Africa,VERIFIED,women_in_parliament
CMR,2016,31.1111111111111,Central Africa,VERIFIED,women_in_parliament
COD,2016,8.94308943089431,Central Africa,VERIFIED,women_in_parliament
COG,2016,7.35294117647059,Central Africa,VERIFIED,women_in_parliament
COM,2016,3.03030303030303,East Africa,VERIFIED,women_in_parliament
CPV,2016,23.6111111111111,West Africa,VERIFIED,women_in_parliament
DJI,2016,12.7272727272727,East Africa,VERIFIED,women_in_parliament
DZA,2016,31.6017316017316,North Africa,VERIFIED,women_in_parliament
EGY,2016,14.9328859060403,North Africa,VERIFIED,women_in_parliament
ERI,2016,22.0,East Africa,VERIFIED,women_in_parliament
ETH,2016,38.7568555758684,East Africa,VERIFIED,women_in_parliament
GAB,2016,14.1666666666667,Central Africa,VERIFIED,women_in_parliament
GHA,2016,10.9090909090909,West Africa,VERIFIED,women_in_parliament
GIN,2016,21.9298245614035,West Africa,VERIFIED,women_in_parliament
GMB,2016,9.43396226415094,West Africa,VERIFIED,women_in_parliament
GNB,2016,13.7254901960784,West Africa,VERIFIED,women_in_parliament
GNQ,2016,24.0,Central Africa,VERIFIED,women_in_parliament
KEN,2016,19.7142857142857,East Africa,VERIFIED,women_in_parliament
LBR,2016,10.958904109589,West Africa,VERIFIED,women_in_parliament
LBY,2016,15.9574468085106,Other,VERIFIED,women_in_parliament
LSO,2016,25.0,Southern Africa,VERIFIED,women_in_parliament
MAR,2016,20.5063291139241,North Africa,VERIFIED,women_in_parliament
MDG,2016,20.5298013245033,East Africa,VERIFIED,women_in_parliament
MLI,2016,8.84353741496599,West Africa,VERIFIED,women_in_parliament
MOZ,2016,39.6,Southern Africa,VERIFIED,women_in_parliament
MRT,2016,25.1700680272109,West Africa,VERIFIED,women_in_parliament
MUS,2016,11.5942028985507,East Africa,VERIFIED,women_in_parliament
MWI,2016,16.6666666666667,Southern Africa,VERIFIED,women_in_parliament
NAM,2016,41.3461538461538,Southern Africa,VERIFIED,women_in_parliament
NER,2016,14.6198830409357,West Africa,VERIFIED,women_in_parliament
NGA,2016,5.55555555555556,West Africa,VERIFIED,women_in_parliament
RWA,2016,63.75,East Africa,VERIFIED,women_in_parliament
SDN,2016,30.5164319248826,North Africa,VERIFIED,women_in_parliament
SEN,2016,42.6666666666667,West Africa,VERIFIED,women_in_parliament
SLE,2016,12.396694214876,West Africa,VERIFIED,women_in_parliament
SOM,2016,,East Africa,MISSING,women_in_parliament
SSD,2016,28.4595300261097,East Africa,VERIFIED,women_in_parliament
STP,2016,18.1818181818182,Central Africa,VERIFIED,women_in_parliament
SWZ,2016,6.15384615384615,Southern Africa,VERIFIED,women_in_parliament
SYC,2016,21.2121212121212,East Africa,VERIFIED,women_in_parliament
TCD,2016,14.8936170212766,Central Africa,VERIFIED,women_in_parliament
TGO,2016,17.5824175824176,West Africa,VERIFIED,women_in_parliament
TUN,2016,31.3364055299539,North Africa,VERIFIED,women_in_parliament
TZA,2016,36.5591397849462,East Africa,VERIFIED,women_in_parliament
UGA,2016,33.4894613583138,East Africa,VERIFIED,women_in_parliament
ZAF,2016,42.0,Southern Africa,VERIFIED,women_in_parliament
ZMB,2016,17.9640718562874,Southern Africa,VERIFIED,women_in_parliament
ZWE,2016,31.4814814814815,Southern Africa,VERIFIED,women_in_parliament
AGO,2017,30.4545454545455,Central Africa,VERIFIED,women_in_parliament
BDI,2017,36.3636363636364,East Africa,VERIFIED,women_in_parliament
BEN,2017,7.2289156626506,West Africa,VERIFIED,women_in_parliament
BFA,2017,11.0236220472441,West Africa,VERIFIED,women_in_parliament
BWA,2017,9.52380952380952,Southern Africa,VERIFIED,women_in_parliament
CAF,2017,8.57142857142857,Central Africa,VERIFIED,women_in_parliament
CIV,2017,10.5882352941176,West Africa,VERIFIED,women_in_parliament
