country_code,year,value,au_region,quality_flag,indicator
AGO,2015,75.017,Central Africa,VERIFIED,female_lfp
BDI,2015,82.007,East Africa,VERIFIED,female_lfp
BEN,2015,73.353,West Africa,VERIFIED,female_lfp
BFA,2015,75.336,West Africa,VERIFIED,female_lfp
BWA,2015,58.55,Southern Africa,VERIFIED,female_lfp
CAF,2015,65.875,Central Africa,VERIFIED,female_lfp
CIV,2015,60.529,West Africa,VERIFIED,female_lfp
CMR,2015,66.29,Central Africa,VERIFIED,female_lfp
COD,2015,62.506,Central Africa,VERIFIED,female_lfp
COG,2015,67.492,Central Africa,VERIFIED,female_lfp
COM,2015,36.127,East Africa,VERIFIED,female_lfp
CPV,2015,56.09,West Africa,VERIFIED,female_lfp
DJI,2015,18.553,East Africa,VERIFIED,female_lfp
DZA,2015,16.519,North Africa,VERIFIED,female_lfp
EGY,2015,24.439,North Africa,VERIFIED,female_lfp
ERI,2015,76.465,East Africa,VERIFIED,female_lfp
ETH,2015,72.294,East Africa,VERIFIED,female_lfp
GAB,2015,43.18,Central Africa,VERIFIED,female_lfp
GHA,2015,66.75,West Africa,VERIFIED,female_lfp
GIN,2015,48.774,West Africa,VERIFIED,female_lfp
GMB,2015,45.483,West Africa,VERIFIED,female_lfp
GNB,2015,55.685,West Africa,VERIFIED,female_lfp
GNQ,2015,55.316,Central Africa,VERIFIED,female_lfp
KEN,2015,71.751,East Africa,VERIFIED,female_lfp
LBR,2015,73.287,West Africa,VERIFIED,female_lfp
LBY,2015,36.586,Other,VERIFIED,female_lfp
LSO,2015,56.707,Southern Africa,VERIFIED,female_lfp
MAR,2015,25.884,North Africa,VERIFIED,female_lfp
MDG,2015,84.628,East Africa,VERIFIED,female_lfp
MLI,2015,63.261,West Africa,VERIFIED,female_lfp
MOZ,2015,78.563,Southern Africa,VERIFIED,female_lfp
MRT,2015,27.634,West Africa,VERIFIED,female_lfp
MUS,2015,52.278,East Africa,VERIFIED,female_lfp
MWI,2015,62.981,Southern Africa,VERIFIED,female_lfp
NAM,2015,58.402,Southern Africa,VERIFIED,female_lfp
NER,2015,63.033,West Africa,VERIFIED,female_lfp
NGA,2015,77.284,West Africa,VERIFIED,female_lfp
RWA,2015,56.555,East Africa,VERIFIED,female_lfp
SDN,2015,23.826,North Africa,VERIFIED,female_lfp
SEN,2015,35.367,West Africa,VERIFIED,female_lfp
SLE,2015,56.692,West Africa,VERIFIED,female_lfp
SOM,2015,21.684,East Africa,VERIFIED,female_lfp
SSD,2015,73.32,East Africa,VERIFIED,female_lfp
STP,2015,22.6,Central Africa,VERIFIED,female_lfp
SWZ,2015,48.809,Southern Africa,VERIFIED,female_lfp
SYC,2015,,East Africa,MISSING,female_lfp
TCD,2015,50.688,Central Africa,VERIFIED,female_lfp
TGO,2015,56.668,West Africa,VERIFIED,female_lfp
TUN,2015,28.759,North Africa,VERIFIED,female_lfp
TZA,2015,81.62,East Africa,VERIFIED,female_lfp
UGA,2015,74.722,East Africa,VERIFIED,female_lfp
ZAF,2015,52.006,Southern Africa,VERIFIED,female_lfp
ZMB,2015,51.766,Southern Africa,VERIFIED,female_lfp
ZWE,2015,61.622,Southern Africa,VERIFIED,female_lfp
AGO,2016,74.784,Central Africa,VERIFIED,female_lfp
BDI,2016,82.277,East Africa,VERIFIED,female_lfp
BEN,2016,73.977,West Africa,VERIFIED,female_lfp
BFA,2016,75.051,West Africa,VERIFIED,female_lfp
BWA,2016,59.008,Southern Africa,VERIFIED,female_lfp
CAF,2016,65.9,Central Africa,VERIFIED,female_lfp
CIV,2016,59.417,West Africa,VERIFIED,female_lfp
CMR,2016,64.87,Central Africa,VERIFIED,female_lfp
COD,2016,62.254,Central Africa,VERIFIED,female_lfp
COG,2016,67.417,Central Africa,VERIFIED,female_lfp
COM,2016,38.276,East Africa,VERIFIED,female_lfp
CPV,2016,56.399,West Africa,VERIFIED,female_lfp
DJI,2016,18.755,East Africa,VERIFIED,female_lfp
DZA,2016,16.31,North Africa,VERIFIED,female_lfp
EGY,2016,24.652,North Africa,VERIFIED,female_lfp
ERI,2016,76.414,East Africa,VERIFIED,female_lfp
ETH,2016,70.182,East Africa,VERIFIED,female_lfp
GAB,2016,43.382,Central Africa,VERIFIED,female_lfp
GHA,2016,65.732,West Africa,VERIFIED,female_lfp
GIN,2016,47.47,West Africa,VERIFIED,female_lfp
GMB,2016,45.404,West Africa,VERIFIED,female_lfp
GNB,2016,55.775,West Africa,VERIFIED,female_lfp
GNQ,2016,55.486,Central Africa,VERIFIED,female_lfp
KEN,2016,71.78,East Africa,VERIFIED,female_lfp
LBR,2016,73.307,West Africa,VERIFIED,female_lfp
LBY,2016,36.61,Other,VERIFIED,female_lfp
