country_code,year,value,au_region,quality_flag,indicator
AGO,2015,,Central Africa,MISSING,girls_secondary_enrol
BDI,2015,42.5848131340896,East Africa,VERIFIED,girls_secondary_enrol
BEN,2015,46.0378799438477,West Africa,VERIFIED,girls_secondary_enrol
BFA,2015,31.3499100869596,West Africa,VERIFIED,girls_secondary_enrol
BWA,2015,,Southern Africa,MISSING,girls_secondary_enrol
CAF,2015,,Central Africa,MISSING,girls_secondary_enrol
CIV,2015,37.982068610823,West Africa,VERIFIED,girls_secondary_enrol
CMR,2015,55.5473133749889,Central Africa,VERIFIED,girls_secondary_enrol
COD,2015,32.7438697814941,Central Africa,VERIFIED,girls_secondary_enrol
COG,2015,,Central Africa,MISSING,girls_secondary_enrol
COM,2015,,East Africa,MISSING,girls_secondary_enrol
CPV,2015,105.428949752596,West Africa,VERIFIED,girls_secondary_enrol
DJI,2015,,East Africa,MISSING,girls_secondary_enrol
DZA,2015,,North Africa,MISSING,girls_secondary_enrol
EGY,2015,,North Africa,MISSING,girls_secondary_enrol
ERI,2015,41.9455795288086,East Africa,VERIFIED,girls_secondary_enrol
ETH,2015,33.3210265952712,East Africa,VERIFIED,girls_secondary_enrol
GAB,2015,,Central Africa,MISSING,girls_secondary_enrol
GHA,2015,64.5307806759859,West Africa,VERIFIED,girls_secondary_enrol
GIN,2015,,West Africa,MISSING,girls_secondary_enrol
GMB,2015,,West Africa,MISSING,girls_secondary_enrol
GNB,2015,,West Africa,MISSING,girls_secondary_enrol
GNQ,2015,,Central Africa,MISSING,girls_secondary_enrol
KEN,2015,70.187444140127,East Africa,VERIFIED,girls_secondary_enrol
LBR,2015,31.3665904998779,West Africa,VERIFIED,girls_secondary_enrol
LBY,2015,,Other,MISSING,girls_secondary_enrol
LSO,2015,67.8270774378415,Southern Africa,VERIFIED,girls_secondary_enrol
MAR,2015,,North Africa,MISSING,girls_secondary_enrol
MDG,2015,36.2567596435547,East Africa,VERIFIED,girls_secondary_enrol
MLI,2015,34.4988647258526,West Africa,VERIFIED,girls_secondary_enrol
MOZ,2015,32.985279083252,Southern Africa,VERIFIED,girls_secondary_enrol
MRT,2015,28.8231465861958,West Africa,VERIFIED,girls_secondary_enrol
MUS,2015,95.9186994275233,East Africa,VERIFIED,girls_secondary_enrol
MWI,2015,37.6379016435624,Southern Africa,VERIFIED,girls_secondary_enrol
NAM,2015,81.7415343444417,Southern Africa,VERIFIED,girls_secondary_enrol
NER,2015,16.6576291122559,West Africa,VERIFIED,girls_secondary_enrol
NGA,2015,41.8675918579102,West Africa,VERIFIED,girls_secondary_enrol
RWA,2015,40.5258619158058,East Africa,VERIFIED,girls_secondary_enrol
SDN,2015,42.1506309509277,North Africa,VERIFIED,girls_secondary_enrol
SEN,2015,,West Africa,MISSING,girls_secondary_enrol
SLE,2015,37.5164985656738,West Africa,VERIFIED,girls_secondary_enrol
SOM,2015,,East Africa,MISSING,girls_secondary_enrol
SSD,2015,8.0513801574707,East Africa,VERIFIED,girls_secondary_enrol
STP,2015,85.4740676879883,Central Africa,VERIFIED,girls_secondary_enrol
SWZ,2015,76.7041397094727,Southern Africa,VERIFIED,girls_secondary_enrol
SYC,2015,94.5454545454545,East Africa,VERIFIED,girls_secondary_enrol
TCD,2015,13.880263310419,Central Africa,VERIFIED,girls_secondary_enrol
TGO,2015,,West Africa,MISSING,girls_secondary_enrol
TUN,2015,,North Africa,MISSING,girls_secondary_enrol
TZA,2015,25.9106006622314,East Africa,VERIFIED,girls_secondary_enrol
UGA,2015,,East Africa,MISSING,girls_secondary_enrol
ZAF,2015,104.541397395068,Southern Africa,VERIFIED,girls_secondary_enrol
ZMB,2015,,Southern Africa,MISSING,girls_secondary_enrol
ZWE,2015,,Southern Africa,MISSING,girls_secondary_enrol
AGO,2016,42.9851256990708,Central Africa,VERIFIED,girls_secondary_enrol
BDI,2016,47.4670778135604,East Africa,VERIFIED,girls_secondary_enrol
BEN,2016,47.7052116394043,West Africa,VERIFIED,girls_secondary_enrol
BFA,2016,33.8377858408122,West Africa,VERIFIED,girls_secondary_enrol
BWA,2016,,Southern Africa,MISSING,girls_secondary_enrol
CAF,2016,11.0433397293091,Central Africa,VERIFIED,girls_secondary_enrol
CIV,2016,40.5872787120579,West Africa,VERIFIED,girls_secondary_enrol
CMR,2016,56.4790090222202,Central Africa,VERIFIED,girls_secondary_enrol
COD,2016,,Central Africa,MISSING,girls_secondary_enrol
COG,2016,,Central Africa,MISSING,girls_secondary_enrol
COM,2016,,East Africa,MISSING,girls_secondary_enrol
CPV,2016,107.346835625835,West Africa,VERIFIED,girls_secondary_enrol
DJI,2016,,East Africa,MISSING,girls_secondary_enrol
DZA,2016,,North Africa,MISSING,girls_secondary_enrol
EGY,2016,74.7882619375541,North Africa,VERIFIED,girls_secondary_enrol
ERI,2016,,East Africa,MISSING,girls_secondary_enrol
ETH,2016,,East Africa,MISSING,girls_secondary_enrol
GAB,2016,,Central Africa,MISSING,girls_secondary_enrol
GHA,2016,65.3783920673892,West Africa,VERIFIED,girls_secondary_enrol
GIN,2016,,West Africa,MISSING,girls_secondary_enrol
GMB,2016,,West Africa,MISSING,girls_secondary_enrol
GNB,2016,,West Africa,MISSING,girls_secondary_enrol
GNQ,2016,,Central Africa,MISSING,girls_secondary_enrol
KEN,2016,73.1205739030308,East Africa,VERIFIED,girls_secondary_enrol
LBR,2016,,West Africa,MISSING,girls_secondary_enrol
