country_code,year,value,au_region,quality_flag,indicator
AGO,2015,35.624,Central Africa,VERIFIED,youth_unemployment_m
BDI,2015,3.768,East Africa,VERIFIED,youth_unemployment_m
BEN,2015,3.643,West Africa,VERIFIED,youth_unemployment_m
BFA,2015,6.89,West Africa,VERIFIED,youth_unemployment_m
BWA,2015,32.18,Southern Africa,VERIFIED,youth_unemployment_m
CAF,2015,8.888,Central Africa,VERIFIED,youth_unemployment_m
CIV,2015,2.534,West Africa,VERIFIED,youth_unemployment_m
CMR,2015,5.784,Central Africa,VERIFIED,youth_unemployment_m
COD,2015,10.314,Central Africa,VERIFIED,youth_unemployment_m
COG,2015,42.483,Central Africa,VERIFIED,youth_unemployment_m
COM,2015,9.423,East Africa,VERIFIED,youth_unemployment_m
CPV,2015,26.623,West Africa,VERIFIED,youth_unemployment_m
DJI,2015,71.65,East Africa,VERIFIED,youth_unemployment_m
DZA,2015,27.398,North Africa,VERIFIED,youth_unemployment_m
EGY,2015,31.411,North Africa,VERIFIED,youth_unemployment_m
ERI,2015,9.014,East Africa,VERIFIED,youth_unemployment_m
ETH,2015,2.822,East Africa,VERIFIED,youth_unemployment_m
GAB,2015,31.154,Central Africa,VERIFIED,youth_unemployment_m
GHA,2015,14.779,West Africa,VERIFIED,youth_unemployment_m
GIN,2015,6.615,West Africa,VERIFIED,youth_unemployment_m
GMB,2015,9.787,West Africa,VERIFIED,youth_unemployment_m
GNB,2015,3.964,West Africa,VERIFIED,youth_unemployment_m
GNQ,2015,14.45,Central Africa,VERIFIED,youth_unemployment_m
KEN,2015,7.327,East Africa,VERIFIED,youth_unemployment_m
LBR,2015,2.137,West Africa,VERIFIED,youth_unemployment_m
LBY,2015,43.442,Other,VERIFIED,youth_unemployment_m
LSO,2015,17.366,Southern Africa,VERIFIED,youth_unemployment_m
MAR,2015,20.623,North Africa,VERIFIED,youth_unemployment_m
MDG,2015,3.672,East Africa,VERIFIED,youth_unemployment_m
MLI,2015,2.299,West Africa,VERIFIED,youth_unemployment_m
MOZ,2015,7.191,Southern Africa,VERIFIED,youth_unemployment_m
MRT,2015,16.886,West Africa,VERIFIED,youth_unemployment_m
MUS,2015,21.354,East Africa,VERIFIED,youth_unemployment_m
MWI,2015,6.432,Southern Africa,VERIFIED,youth_unemployment_m
NAM,2015,36.136,Southern Africa,VERIFIED,youth_unemployment_m
NER,2015,0.852,West Africa,VERIFIED,youth_unemployment_m
