economy,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
AGO,,42.9851256990708,,,,,49.4286274279557,,48.1175394651696
BDI,42.5848131340896,47.4670778135604,49.4867506946943,48.9246508069948,44.8293939228029,49.2576387332398,,,
BEN,46.0378799438477,47.7052116394043,,,,39.4178810119629,40.2546501159668,40.2818489074707,
BFA,31.3499100869596,33.8377858408122,36.4337512769058,39.4315297671845,40.517531621348,40.2090461523707,40.1334643135395,36.1300743115017,33.6455886002101
BWA,,,,,,,74.0652465820312,,
CAF,,11.0433397293091,12.7931003570557,,,,,,
CIV,37.982068610823,40.5872787120579,43.9337901584799,46.3947128556196,49.4831223999723,51.9265625097734,54.4109890656109,52.166846663702,63.094766197367
CMR,55.5473133749889,56.4790090222202,,,,,42.6115884063623,43.2072311629303,42.4944197803389
COD,32.7438697814941,,,,,,42.9527015686035,,
COG,,,,,,,,,
COM,,,59.3382174230061,64.5565253389451,,,,,
CPV,105.428949752596,107.346835625835,108.513703183866,104.00895690918,103.593505622998,106.038487060385,104.706914193831,103.582593697222,
DJI,,,,,,,,,
DZA,,,,,,,,106.153022766113,103.220718383789
EGY,,74.7882619375541,75.3094821649971,75.9067103552346,76.911298614293,78.4118910481273,80.3491927630684,,83.0465220652019
ERI,41.9455795288086,,42.0257682800293,43.4416885375977,,,,40.2760810852051,
ETH,33.3210265952712,,,,,,,,
GAB,,,,,72.0510629415333,,,,
GHA,64.5307806759859,65.3783920673892,64.9647509332356,66.9166894213064,70.2943846951293,73.2758030599046,75.6377570946198,77.9574778013858,
GIN,,,,,,,,,
GMB,,,,,,,116.372766553778,,
GNB,,,,,,,,,
GNQ,,,,,,,,,
KEN,70.187444140127,73.1205739030308,,,,,79.6603133999262,83.4337197590316,84.7505339840655
LBR,31.3665904998779,,,,,37.0220985412598,,,
LBY,,,,,,,,,
LSO,67.8270774378415,65.0972290039062,68.1387518596821,,,,,,
MAR,,,74.2546979867675,75.2608385790025,76.5740050948519,78.1902667388164,79.2970919837523,83.2706329144956,87.2227171713839
MDG,36.2567596435547,36.2822418212891,35.2360569008275,35.3710327591243,33.6142692093689,,35.2580222250234,,
MLI,34.4988647258526,34.1917935715776,34.447973185326,34.2633935963908,,,,,37.1307560416794
MOZ,32.985279083252,,35.2994499206543,,,,,,
MRT,28.8231465861958,30.5243563459821,30.7430804973383,34.754930908232,37.5735638620028,36.1789325617578,,,
MUS,95.9186994275233,96.6578558308319,95.6264935299157,93.8197294421645,94.0894965817278,91.3439926033381,,,
MWI,37.6379016435624,35.6916809082031,39.0289251751713,38.1734496554461,31.9471376555901,43.9545178667563,36.1013396035833,35.8626281732909,37.2564052253575
NAM,81.7415343444417,82.4628831856333,82.9187287944073,82.4447917914626,83.3997206880115,87.2617411950085,87.1498788500333,86.1980083129179,86.2067962132394
NER,16.6576291122559,19.4438558469203,20.3042793946679,,,,,,20.6873224974982
NGA,41.8675918579102,37.2762603759766,,39.4427909851074,,43.9140815734863,45.1787605285645,,47.4061508178711
RWA,40.5258619158058,39.8630035289782,41.5758285639592,43.2482338226061,46.5223774240521,,47.0146410981496,47.5004278023246,48.7785157251447
SDN,42.1506309509277,40.467399597168,43.3027687072754,42.4490699768066,44.8803787231445,,,,
SEN,,,,,47.6122826558931,48.7408134468399,50.1069716907194,51.0293572947889,50.2150531512901
SLE,37.5164985656738,40.7735595703125,41.1011695861816,42.5191192626953,60.979808807373,62.9357109069824,74.4143295288086,,91.7119293212891
SOM,,,,,,,,,2.75847005844116
SSD,8.0513801574707,,,,,,,,
STP,85.4740676879883,87.7800827026367,95.1290435791016,,,,,,
SWZ,76.7041397094727,82.1736533366008,,,,,,90.8286209106445,
SYC,94.5454545454545,101.458499071864,113.519952352591,106.99716713881,100.954458685574,102.862543883338,104.619930163846,78.1369548584545,75.8835758835759
TCD,13.880263310419,14.2798381653045,14.0123630025093,13.9039225599097,14.1967132658225,,17.2672329408201,,19.2402040168684
TGO,,,51.5055745468098,,,,56.962123807999,,59.0849653049812
TUN,,95.4877166748047,,,,,,,
TZA,25.9106006622314,25.6934364827346,26.6423516825531,29.1602013185307,31.1972029418227,32.1652787700855,29.2047595977783,,
UGA,,,,,,,,,
ZAF,104.541397395068,109.660301208496,110.607490539551,105.538677930271,107.597072310067,108.468464029139,111.094585540701,108.68396751263,107.464974022043
ZMB,,,,,,,,,
ZWE,,,,,,,,,
