economy,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
AGO,34.619,33.516,32.296,30.967,29.501,30.731,27.627,26.924,26.574
BDI,1.787,1.67,1.551,1.433,1.312,1.388,1.406,1.253,1.251
BEN,3.224,3.188,3.078,2.85,2.659,3.159,2.963,2.642,2.609
BFA,7.48,7.608,7.663,7.683,7.798,8.873,8.774,8.144,8.392
BWA,37.949,37.211,36.361,35.012,34.301,42.916,49.149,49.44,49.986
CAF,10.835,10.764,10.631,10.414,10.542,12.008,11.969,11.227,11.003
CIV,4.397,3.045,6.308,5.648,4.938,5.669,5.421,4.775,4.703
CMR,6.769,6.839,6.949,7.05,7.137,8.213,7.894,7.253,7.206
COD,6.354,6.399,6.444,6.421,6.354,7.567,7.235,6.301,6.239
COG,39.998,40.457,41.184,41.35,40.771,45.695,43.492,40.144,39.725
COM,9.357,9.586,9.591,9.587,9.618,11.543,10.851,9.735,9.676
CPV,31.233,33.335,35.589,32.021,33.502,41.831,38.05,34.48,33.634
DJI,73.799,74.371,75.346,76.407,77.37,84.183,81.052,78.002,77.589
DZA,45.213,44.59,46.427,46.844,47.369,54.36,50.939,47.469,45.735
EGY,39.872,40.554,40.013,52.799,51.834,46.054,42.743,35.751,36.589
ERI,11.174,11.117,10.974,10.703,10.804,12.341,12.152,11.353,11.11
ETH,4.961,5.269,5.579,5.949,6.286,8.536,8.295,7.253,7.245
GAB,42.078,42.408,42.752,43.026,42.895,47.15,44.811,42.927,42.654
GHA,13.618,10.168,6.151,5.919,5.719,6.336,5.923,5.334,5.286
GIN,5.93,6.316,6.695,7.17,7.869,9.675,9.06,8.002,7.966
GMB,12.592,10.627,8.481,6.534,7.32,9.849,10.257,10.095,10.881
GNB,3.792,3.778,3.749,3.784,2.171,2.52,2.232,1.793,1.785
GNQ,16.582,16.567,16.384,16.016,16.195,18.966,18.312,17.136,16.719
KEN,7.27,7.311,9.346,11.342,13.354,16.626,16.794,19.648,19.239
LBR,1.686,2.2,2.195,2.193,2.197,2.915,2.667,2.129,2.112
LBY,70.799,70.598,69.512,69.125,69.662,74.809,71.996,69.873,68.675
LSO,33.956,34.43,35.478,36.524,37.645,42.484,40.244,37.672,37.224
MAR,21.355,22.672,22.644,22.895,22.964,27.223,25.779,23.128,22.532
MDG,2.913,3.264,3.627,3.999,4.37,5.872,6.08,5.693,5.545
MLI,2.026,1.993,2.077,2.157,4.733,7.585,4.165,4.713,3.793
MOZ,7.006,7.346,7.766,8.167,8.535,9.891,9.984,11.581,11.435
MRT,21.61,23.406,25.032,27.686,30.157,33.542,32.202,30.626,30.268
MUS,31.457,30.058,31.428,28.319,28.845,28.602,26.071,24.63,18.556
MWI,7.085,7.156,7.203,7.188,7.143,8.434,8.047,7.195,7.187
NAM,46.854,51.724,45.794,38.531,38.737,42.769,40.999,38.61,37.916
NER,0.49,0.56,0.634,0.694,0.761,0.726,0.96,0.242,0.242
NGA,8.758,9.425,10.062,10.506,10.799,11.961,10.376,7.453,6.329
RWA,17.868,17.867,18.011,16.866,16.705,17.308,24.271,23.462,20.191
SDN,34.025,31.65,29.318,26.86,24.274,24.435,19.703,13.099,
SEN,8.989,6.639,4.839,5.556,6.542,7.843,7.234,5.933,5.873
SLE,5.182,4.335,3.38,2.508,2.521,2.979,2.836,2.484,2.469
SOM,36.356,36.498,36.251,36.666,36.907,39.733,38.644,37.543,37.312
SSD,18.102,18.519,18.599,18.398,18.155,20.826,19.76,17.813,17.658
STP,15.276,12.079,8.995,8.915,9.008,10.242,9.757,9.111,9.168
SWZ,50.801,49.277,50.646,52.178,53.405,61.651,59.082,61.734,58.19
SYC,,,,,,,,,
TCD,0.63,0.652,0.671,0.685,0.677,0.952,0.891,0.65,0.646
TGO,4.601,5.793,7.032,4.913,2.705,3.607,3.824,3.586,3.559
TUN,37.406,38.105,37.5,36.073,38.47,41.561,38.901,36.566,36.303
TZA,4.228,4.032,3.834,3.652,3.472,3.751,3.681,3.14,3.13
UGA,4.356,4.822,5.389,5.412,5.427,6.926,6.343,5.482,5.324
ZAF,55.217,59.798,59.045,59.264,62.268,64.571,70.558,66.18,64.343
ZMB,12.005,10.131,8.123,8.037,8.194,10.764,10.005,9.88,9.788
ZWE,9.08,9.936,10.742,11.526,12.472,15.471,16.289,17.821,16.421
