economy,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
AGO,35.624,35.446,35.151,34.735,34.15,35.352,32.636,27.359,27.084
BDI,3.768,3.399,3.029,2.663,2.286,2.012,2.218,2.25,2.24
BEN,3.643,3.293,2.871,2.365,1.905,2.75,3.526,3.606,3.564
BFA,6.89,7.191,7.417,7.601,7.125,7.243,6.733,5.611,5.163
BWA,32.18,32.973,33.691,33.922,34.816,38.371,38.194,36.765,39.592
CAF,8.888,8.841,8.923,8.832,8.833,9.84,9.813,9.035,8.807
CIV,2.534,1.273,4.457,3.919,3.355,3.935,4.234,3.943,3.886
CMR,5.784,5.859,5.971,6.072,6.16,6.741,6.734,6.241,6.195
COD,10.314,10.353,10.396,10.315,10.159,11.696,11.239,10.036,9.95
COG,42.483,43.004,43.826,44.02,43.378,47.749,45.914,42.212,41.711
COM,9.423,9.431,9.181,8.915,8.693,9.682,8.995,8.252,8.2
CPV,26.623,27.869,29.159,24.47,24.711,29.946,27.682,25.087,24.522
DJI,71.65,72.129,73.03,74.024,74.913,80.324,78.229,75.634,75.526
DZA,27.398,22.831,27.316,27.731,28.222,32.36,30.646,28.413,27.065
EGY,31.411,30.321,28.996,17.873,12.876,13.09,13.067,11.981,12.008
ERI,9.014,8.998,9.108,8.995,8.984,9.994,9.914,9.135,8.933
ETH,2.822,2.969,3.118,3.302,3.466,4.553,4.564,3.951,3.951
GAB,31.154,31.474,31.797,32.053,31.977,34.032,33.168,31.881,31.665
GHA,14.779,11.016,6.58,6.277,6.013,6.303,6.038,5.46,5.408
GIN,6.615,6.386,6.175,6.063,6.122,7.173,6.898,6.174,6.145
GMB,9.787,9.181,8.364,7.645,8.208,10.375,10.597,10.22,10.751
GNB,3.964,3.945,3.911,3.942,1.971,2.912,3.532,3.7,3.682
GNQ,14.45,14.415,14.586,14.431,14.43,16.12,15.869,14.723,14.428
KEN,7.327,7.355,8.862,10.332,11.813,10.934,8.196,11.811,11.544
LBR,2.137,2.4,2.396,2.393,2.397,2.905,2.96,2.325,2.308
LBY,43.442,43.282,42.446,42.14,42.533,44.709,43.7,42.785,41.89
LSO,17.366,17.426,17.788,18.15,18.545,20.391,19.944,18.366,18.122
MAR,20.623,22.122,22.005,22.278,22.319,26.663,24.835,22.593,21.811
MDG,3.672,3.884,4.115,4.357,4.594,5.876,6.033,5.481,5.32
MLI,2.299,2.253,2.362,2.471,4.623,6.156,4.628,2.132,3.909
MOZ,7.191,7.457,7.83,8.179,8.487,9.524,9.688,11.657,11.507
MRT,16.886,17.992,18.921,19.451,19.998,21.576,21.232,20.102,19.85
MUS,21.354,17.836,18.92,21.014,17.175,22.317,24.792,20.729,14.777
MWI,6.432,6.504,6.552,6.543,6.504,7.297,7.245,6.53,6.525
NAM,36.136,37.435,37.7,37.51,37.678,40.481,39.37,37.185,36.511
NER,0.852,0.824,0.803,0.769,0.743,0.755,0.531,0.523,0.524
NGA,8.201,8.823,9.404,9.824,10.092,9.892,7.797,4.805,3.977
RWA,15.403,15.392,15.515,15.721,15.449,14.692,22.437,21.054,16.352
SDN,22.037,20.966,20.045,19.129,18.157,18.759,16.957,11.816,
SEN,7.398,6.205,6.477,4.574,2.873,3.469,3.546,3.058,3.022
SLE,12.1,9.665,7.072,4.729,4.752,5.295,5.088,4.66,4.632
SOM,31.605,31.705,31.435,31.818,32.053,33.683,33.317,32.452,32.266
SSD,20.832,21.256,21.14,20.748,20.429,22.921,21.896,19.635,19.4
STP,10.632,9.317,7.846,7.768,7.847,8.666,8.471,7.917,7.972
SWZ,45.925,44.68,46.1,47.69,49.002,55.606,54.277,55.315,50.324
SYC,,,,,,,,,
TCD,2.083,2.124,2.156,2.172,2.146,2.615,2.925,2.085,2.075
TGO,3.963,8.07,12.063,7.87,3.539,3.806,3.721,3.201,3.181
TUN,33.87,33.667,34.33,34.289,37.546,41.076,39.52,38.447,39.461
TZA,2.705,2.497,2.287,2.087,1.886,1.824,1.863,1.586,1.582
UGA,3.399,4.012,4.727,4.389,4.016,4.572,3.875,3.312,3.209
ZAF,46.179,48.55,48.859,49.245,53.347,55.552,61.151,58.087,56.851
ZMB,12.689,10.849,8.875,9.404,12.165,11.294,8.825,9.822,10.26
ZWE,7.146,8.146,9.098,10.024,11.114,13.235,14.288,16.297,14.435
