country_code,year,value,au_region,quality_flag,indicator
AGO,2015,34.619,Central Africa,VERIFIED,youth_unemployment_f
BDI,2015,1.787,East Africa,VERIFIED,youth_unemployment_f
BEN,2015,3.224,West Africa,VERIFIED,youth_unemployment_f
BFA,2015,7.48,West Africa,VERIFIED,youth_unemployment_f
BWA,2015,37.949,Southern Africa,VERIFIED,youth_unemployment_f
CAF,2015,10.835,Central Africa,VERIFIED,youth_unemployment_f
CIV,2015,4.397,West Africa,VERIFIED,youth_unemployment_f
CMR,2015,6.769,Central Africa,VERIFIED,youth_unemployment_f
COD,2015,6.354,Central Africa,VERIFIED,youth_unemployment_f
COG,2015,39.998,Central Africa,VERIFIED,youth_unemployment_f
COM,2015,9.357,East Africa,VERIFIED,youth_unemployment_f
CPV,2015,31.233,West Africa,VERIFIED,youth_unemployment_f
DJI,2015,73.799,East Africa,VERIFIED,youth_unemployment_f
DZA,2015,45.213,North Africa,VERIFIED,youth_unemployment_f
EGY,2015,39.872,North Africa,VERIFIED,youth_unemployment_f
ERI,2015,11.174,East Africa,VERIFIED,youth_unemployment_f
ETH,2015,4.961,East Africa,VERIFIED,youth_unemployment_f
GAB,2015,42.078,Central Africa,VERIFIED,youth_unemployment_f
GHA,2015,13.618,West Africa,VERIFIED,youth_unemployment_f
GIN,2015,5.93,West Africa,VERIFIED,youth_unemployment_f
GMB,2015,12.592,West Africa,VERIFIED,youth_unemployment_f
GNB,2015,3.792,West Africa,VERIFIED,youth_unemployment_f
GNQ,2015,16.582,Central Africa,VERIFIED,youth_unemployment_f
KEN,2015,7.27,East Africa,VERIFIED,youth_unemployment_f
LBR,2015,1.686,West Africa,VERIFIED,youth_unemployment_f
LBY,2015,70.799,Other,VERIFIED,youth_unemployment_f
LSO,2015,33.956,Southern Africa,VERIFIED,youth_unemployment_f
MAR,2015,21.355,North Africa,VERIFIED,youth_unemployment_f
MDG,2015,2.913,East Africa,VERIFIED,youth_unemployment_f
MLI,2015,2.026,West Africa,VERIFIED,youth_unemployment_f
MOZ,2015,7.006,Southern Africa,VERIFIED,youth_unemployment_f
MRT,2015,21.61,West Africa,VERIFIED,youth_unemployment_f
MUS,2015,31.457,East Africa,VERIFIED,youth_unemployment_f
MWI,2015,7.085,Southern Africa,VERIFIED,youth_unemployment_f
NAM,2015,46.854,Southern Africa,VERIFIED,youth_unemployment_f
NER,2015,0.49,West Africa,VERIFIED,youth_unemployment_f
NGA,2015,8.758,West Africa,VERIFIED,youth_unemployment_f
RWA,2015,17.868,East Africa,VERIFIED,youth_unemployment_f
SDN,2015,34.025,North Africa,VERIFIED,youth_unemployment_f
SEN,2015,8.989,West Africa,VERIFIED,youth_unemployment_f
SLE,2015,5.182,West Africa,VERIFIED,youth_unemployment_f
SOM,2015,36.356,East Africa,VERIFIED,youth_unemployment_f
SSD,2015,18.102,East Africa,VERIFIED,youth_unemployment_f
STP,2015,15.276,Central Africa,VERIFIED,youth_unemployment_f
SWZ,2015,50.801,Southern Africa,VERIFIED,youth_unemployment_f
SYC,2015,,East Africa,MISSING,youth_unemployment_f
TCD,2015,0.63,Central Africa,VERIFIED,youth_unemployment_f
TGO,2015,4.601,West Africa,VERIFIED,youth_unemployment_f
TUN,2015,37.406,North Africa,VERIFIED,youth_unemployment_f
TZA,2015,4.228,East Africa,VERIFIED,youth_unemployment_f
UGA,2015,4.356,East Africa,VERIFIED,youth_unemployment_f
ZAF,2015,55.217,Southern Africa,VERIFIED,youth_unemployment_f
ZMB,2015,12.005,Southern Africa,VERIFIED,youth_unemployment_f
ZWE,2015,9.08,Southern Africa,VERIFIED,youth_unemployment_f
AGO,2016,33.516,Central Africa,VERIFIED,youth_unemployment_f
BDI,2016,1.67,East Africa,VERIFIED,youth_unemployment_f
BEN,2016,3.188,West Africa,VERIFIED,youth_unemployment_f
BFA,2016,7.608,West Africa,VERIFIED,youth_unemployment_f
BWA,2016,37.211,Southern Africa,VERIFIED,youth_unemployment_f
CAF,2016,10.764,Central Africa,VERIFIED,youth_unemployment_f
CIV,2016,3.045,West Africa,VERIFIED,youth_unemployment_f
CMR,2016,6.839,Central Africa,VERIFIED,youth_unemployment_f
COD,2016,6.399,Central Africa,VERIFIED,youth_unemployment_f
COG,2016,40.457,Central Africa,VERIFIED,youth_unemployment_f
COM,2016,9.586,East Africa,VERIFIED,youth_unemployment_f
CPV,2016,33.335,West Africa,VERIFIED,youth_unemployment_f
DJI,2016,74.371,East Africa,VERIFIED,youth_unemployment_f
DZA,2016,44.59,North Africa,VERIFIED,youth_unemployment_f
EGY,2016,40.554,North Africa,VERIFIED,youth_unemployment_f
ERI,2016,11.117,East Africa,VERIFIED,youth_unemployment_f
ETH,2016,5.269,East Africa,VERIFIED,youth_unemployment_f
GAB,2016,42.408,Central Africa,VERIFIED,youth_unemployment_f
GHA,2016,10.168,West Africa,VERIFIED,youth_unemployment_f
GIN,2016,6.316,West Africa,VERIFIED,youth_unemployment_f
GMB,2016,10.627,West Africa,VERIFIED,youth_unemployment_f
GNB,2016,3.778,West Africa,VERIFIED,youth_unemployment_f
GNQ,2016,16.567,Central Africa,VERIFIED,youth_unemployment_f
KEN,2016,7.311,East Africa,VERIFIED,youth_unemployment_f
LBR,2016,2.2,West Africa,VERIFIED,youth_unemployment_f
LBY,2016,70.598,Other,VERIFIED,youth_unemployment_f
LSO,2016,34.43,Southern Africa,VERIFIED,youth_unemployment_f
MAR,2016,22.672,North Africa,VERIFIED,youth_unemployment_f
MDG,2016,3.264,East Africa,VERIFIED,youth_unemployment_f
MLI,2016,1.993,West Africa,VERIFIED,youth_unemployment_f
MOZ,2016,7.346,Southern Africa,VERIFIED,youth_unemployment_f
MRT,2016,23.406,West Africa,VERIFIED,youth_unemployment_f
MUS,2016,30.058,East Africa,VERIFIED,youth_unemployment_f
MWI,2016,7.156,Southern Africa,VERIFIED,youth_unemployment_f
NAM,2016,51.724,Southern Africa,VERIFIED,youth_unemployment_f
NER,2016,0.56,West Africa,VERIFIED,youth_unemployment_f
NGA,2016,9.425,West Africa,VERIFIED,youth_unemployment_f
RWA,2016,17.867,East Africa,VERIFIED,youth_unemployment_f
SDN,2016,31.65,North Africa,VERIFIED,youth_unemployment_f
SEN,2016,6.639,West Africa,VERIFIED,youth_unemployment_f
SLE,2016,4.335,West Africa,VERIFIED,youth_unemployment_f
SOM,2016,36.498,East Africa,VERIFIED,youth_unemployment_f
SSD,2016,18.519,East Africa,VERIFIED,youth_unemployment_f
STP,2016,12.079,Central Africa,VERIFIED,youth_unemployment_f
SWZ,2016,49.277,Southern Africa,VERIFIED,youth_unemployment_f
SYC,2016,,East Africa,MISSING,youth_unemployment_f
TCD,2016,0.652,Central Africa,VERIFIED,youth_unemployment_f
TGO,2016,5.793,West Africa,VERIFIED,youth_unemployment_f
TUN,2016,38.105,North Africa,VERIFIED,youth_unemployment_f
TZA,2016,4.032,East Africa,VERIFIED,youth_unemployment_f
UGA,2016,4.822,East Africa,VERIFIED,youth_unemployment_f
ZAF,2016,59.798,Southern Africa,VERIFIED,youth_unemployment_f
ZMB,2016,10.131,Southern Africa,VERIFIED,youth_unemployment_f
ZWE,2016,9.936,Southern Africa,VERIFIED,youth_unemployment_f
AGO,2017,32.296,Central Africa,VERIFIED,youth_unemployment_f
BDI,2017,1.551,East Africa,VERIFIED,youth_unemployment_f
BEN,2017,3.078,West Africa,VERIFIED,youth_unemployment_f
BFA,2017,7.663,West Africa,VERIFIED,youth_unemployment_f
BWA,2017,36.361,Southern Africa,VERIFIED,youth_unemployment_f
CAF,2017,10.631,Central Africa,VERIFIED,youth_unemployment_f
CIV,2017,6.308,West Africa,VERIFIED,youth_unemployment_f
CMR,2017,6.949,Central Africa,VERIFIED,youth_unemployment_f
COD,2017,6.444,Central Africa,VERIFIED,youth_unemployment_f
COG,2017,41.184,Central Africa,VERIFIED,youth_unemployment_f
COM,2017,9.591,East Africa,VERIFIED,youth_unemployment_f
CPV,2017,35.589,West Africa,VERIFIED,youth_unemployment_f
DJI,2017,75.346,East Africa,VERIFIED,youth_unemployment_f
DZA,2017,46.427,North Africa,VERIFIED,youth_unemployment_f
EGY,2017,40.013,North Africa,VERIFIED,youth_unemployment_f
ERI,2017,10.974,East Africa,VERIFIED,youth_unemployment_f
ETH,2017,5.579,East Africa,VERIFIED,youth_unemployment_f
GAB,2017,42.752,Central Africa,VERIFIED,youth_unemployment_f
GHA,2017,6.151,West Africa,VERIFIED,youth_unemployment_f
GIN,2017,6.695,West Africa,VERIFIED,youth_unemployment_f
GMB,2017,8.481,West Africa,VERIFIED,youth_unemployment_f
GNB,2017,3.749,West Africa,VERIFIED,youth_unemployment_f
GNQ,2017,16.384,Central Africa,VERIFIED,youth_unemployment_f
KEN,2017,9.346,East Africa,VERIFIED,youth_unemployment_f
LBR,2017,2.195,West Africa,VERIFIED,youth_unemployment_f
LBY,2017,69.512,Other,VERIFIED,youth_unemployment_f
LSO,2017,35.478,Southern Africa,VERIFIED,youth_unemployment_f
MAR,2017,22.644,North Africa,VERIFIED,youth_unemployment_f
MDG,2017,3.627,East Africa,VERIFIED,youth_unemployment_f
MLI,2017,2.077,West Africa,VERIFIED,youth_unemployment_f
MOZ,2017,7.766,Southern Africa,VERIFIED,youth_unemployment_f
MRT,2017,25.032,West Africa,VERIFIED,youth_unemployment_f
MUS,2017,31.428,East Africa,VERIFIED,youth_unemployment_f
MWI,2017,7.203,Southern Africa,VERIFIED,youth_unemployment_f
NAM,2017,45.794,Southern Africa,VERIFIED,youth_unemployment_f
NER,2017,0.634,West Africa,VERIFIED,youth_unemployment_f
NGA,2017,10.062,West Africa,VERIFIED,youth_unemployment_f
RWA,2017,18.011,East Africa,VERIFIED,youth_unemployment_f
SDN,2017,29.318,North Africa,VERIFIED,youth_unemployment_f
SEN,2017,4.839,West Africa,VERIFIED,youth_unemployment_f
SLE,2017,3.38,West Africa,VERIFIED,youth_unemployment_f
SOM,2017,36.251,East Africa,VERIFIED,youth_unemployment_f
SSD,2017,18.599,East Africa,VERIFIED,youth_unemployment_f
STP,2017,8.995,Central Africa,VERIFIED,youth_unemployment_f
SWZ,2017,50.646,Southern Africa,VERIFIED,youth_unemployment_f
SYC,2017,,East Africa,MISSING,youth_unemployment_f
TCD,2017,0.671,Central Africa,VERIFIED,youth_unemployment_f
TGO,2017,7.032,West Africa,VERIFIED,youth_unemployment_f
TUN,2017,37.5,North Africa,VERIFIED,youth_unemployment_f
TZA,2017,3.834,East Africa,VERIFIED,youth_unemployment_f
